dim,alpha,err
10,0.1,11.73
10,0.2,11.49
10,0.3,11.3
10,0.4,11.13
10,0.5,10.97
10,0.6,10.87
10,0.7,10.83
10,0.8,10.86
10,0.9,10.82
10,1,10.82
20,0.1,6.29
20,0.2,5.99
20,0.3,5.68
20,0.4,5.41
20,0.5,5.26
20,0.6,5.15
20,0.7,5.07
20,0.8,4.99
20,0.9,4.97
20,1,4.96
30,0.1,5.64
30,0.2,5.1
30,0.3,4.9
30,0.4,4.74
30,0.5,4.51
30,0.6,4.32
30,0.7,4.16
30,0.8,4.01
30,0.9,3.99
30,1,3.91
40,0.1,5.54
40,0.2,5.18
40,0.3,4.83
40,0.4,4.61
40,0.5,4.41
40,0.6,4.15
40,0.7,4.05
40,0.8,3.86
40,0.9,3.85
40,1,3.75
50,0.1,5.59
50,0.2,5.15
50,0.3,4.89
50,0.4,4.56
50,0.5,4.34
50,0.6,4.13
50,0.7,3.96
50,0.8,3.84
50,0.9,3.7
50,1,3.64
60,0.1,6.12
60,0.2,5.53
60,0.3,5.27
60,0.4,4.97
60,0.5,4.64
60,0.6,4.42
60,0.7,4.24
60,0.8,4.1
60,0.9,3.95
60,1,3.88
70,0.1,6.17
70,0.2,5.6
70,0.3,5.18
70,0.4,4.83
70,0.5,4.59
70,0.6,4.36
70,0.7,4.21
70,0.8,4.05
70,0.9,3.92
70,1,3.85
80,0.1,6.26
80,0.2,5.72
80,0.3,5.32
80,0.4,4.99
80,0.5,4.82
80,0.6,4.58
80,0.7,4.43
80,0.8,4.26
80,0.9,4.1
80,1,4
90,0.1,6.64
90,0.2,6.11
90,0.3,5.53
90,0.4,5.19
90,0.5,4.87
90,0.6,4.68
90,0.7,4.45
90,0.8,4.3
90,0.9,4.12
90,1,4.1
100,0.1,6.8
100,0.2,6.12
100,0.3,5.61
100,0.4,5.25
100,0.5,4.98
100,0.6,4.83
100,0.7,4.68
100,0.8,4.51
100,0.9,4.42
100,1,4.3
10,0.95,10.82
20,0.95,4.98
30,0.95,3.99
40,0.95,3.78
50,0.95,3.7
60,0.95,3.92
70,0.95,3.88
80,0.95,4.03
90,0.95,4.07
100,0.95,4.34
10,0.99,10.81
20,0.99,4.98
30,0.99,3.92
40,0.99,3.77
50,0.99,3.63
60,0.99,3.9
70,0.99,3.86
80,0.99,3.99
90,0.99,4.09
100,0.99,4.29